clause_id,section,clause_text,source,document,clause_type,risk_score,risk_level,has_penalty,has_deadline,has_law_reference,explanation,word_count
data_protection_policy.txt_0013,7.1 Designation,Data subjects must be informed without undue delay if the breach is likely to result in high risk to their rights.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,21
data_protection_policy.txt_0014,7.1 Designation,Organisations must not transfer personal data to third countries unless adequate protection measures are in place as required by Article 46 of this Regulation.,data_protection_policy.txt,data_protection_policy.txt,prohibition,70,HIGH,False,False,True,"This clause carries HIGH riskbecause it contains an explicit prohibition that, if violated, may trigger enforcement action. A legal reference is cited, requiring accurate cross-referencing (score: 70/100).",24
data_protection_policy.txt_0015,7.1 Designation,It is strictly prohibited to sell personal data to third parties without the explicit consent of the data subject.,data_protection_policy.txt,data_protection_policy.txt,prohibition,40,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 40/100).,19
data_protection_policy.txt_0016,7.1 Designation,"3.2 Automated Decision-Making Organisations shall not subject individuals to decisions based solely on automated processing, including profiling, which produces legal effects concerning the data subject, without ensuring a human review mechanism is in place.",data_protection_policy.txt,data_protection_policy.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,34
data_protection_policy.txt_0017,7.1 Designation,"The processing of special categories of personal data, including health data, biometric data, and political opinions, is prohibited unless explicitly permitted under Section 9 of this Regulation.",data_protection_policy.txt,data_protection_policy.txt,prohibition,50,MEDIUM,False,False,True,"This clause is flagged as MEDIUM risk. A legal reference is cited, requiring accurate cross-referencing (score: 50/100).",27
data_protection_policy.txt_0018,7.1 Designation,Violations of the provisions of this Regulation shall be subject to administrative fines.,data_protection_policy.txt,data_protection_policy.txt,obligation,50,MEDIUM,True,False,False,This clause is flagged as MEDIUM riskas it imposes a compliance obligation (score: 50/100).,13
data_protection_policy.txt_0019,7.1 Designation,"Infringements of the basic principles for processing shall be subject to fines up to EUR 20,000,000 or 4% of total worldwide annual turnover, whichever is higher.",data_protection_policy.txt,data_protection_policy.txt,obligation,50,MEDIUM,True,False,False,This clause is flagged as MEDIUM riskas it imposes a compliance obligation (score: 50/100).,26
data_protection_policy.txt_0020,7.1 Designation,Intentional violations involving the unlawful transfer of personal data may result in criminal liability under applicable national law.,data_protection_policy.txt,data_protection_policy.txt,general,30,LOW,True,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 30/100).",18
data_protection_policy.txt_0021,7.1 Designation,Penalties include imprisonment not exceeding five years for serious violations.,data_protection_policy.txt,data_protection_policy.txt,general,30,LOW,True,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 30/100).",10
data_protection_policy.txt_0022,7.1 Designation,"The designated supervisory authority has the power to impose temporary or permanent limitations on processing, order the rectification or erasure of personal data, and withdraw any certification issued.",data_protection_policy.txt,data_protection_policy.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",28
data_protection_policy.txt_0023,7.1 Designation,All data controllers must complete a full audit of their data processing activities within 90 days of the effective date.,data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,20
data_protection_policy.txt_0024,7.1 Designation,Privacy impact assessments must be conducted no later than 30 days before commencing any new high-risk processing activity.,data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,18
data_protection_policy.txt_0025,7.1 Designation,Organisations must obtain certification from an accredited body within 18 months of the effective date.,data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,15
data_protection_policy.txt_0026,7.1 Designation,Failure to obtain certification by the deadline will result in automatic suspension of data processing licences.,data_protection_policy.txt,data_protection_policy.txt,condition,15,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 15/100).,16
data_protection_policy.txt_0027,7.1 Designation,Data subjects have the right to obtain from the data controller confirmation as to whether or not personal data concerning them is being processed.,data_protection_policy.txt,data_protection_policy.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",24
data_protection_policy.txt_0028,7.1 Designation,Controllers must respond to access requests within 30 days of receipt.,data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,11
data_protection_policy.txt_0029,7.1 Designation,Data subjects are entitled to request the erasure of their personal data where the data is no longer necessary for the purposes for which it was collected.,data_protection_policy.txt,data_protection_policy.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",27
data_protection_policy.txt_0030,7.1 Designation,Controllers shall fulfil erasure requests without undue delay and in any event within 30 days.,data_protection_policy.txt,data_protection_policy.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,15
data_protection_policy.txt_0031,7.1 Designation,Organisations processing personal data on a large scale must designate a Data Protection Officer.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,14
data_protection_policy.txt_0032,7.1 Designation,The DPO must be appointed on the basis of professional qualities and expertise in data protection law.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,17
data_protection_policy.txt_0033,7.1 Designation,Controllers must publish the contact details of the Data Protection Officer and communicate them to the supervisory authority.,data_protection_policy.txt,data_protection_policy.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,18
environmental_compliance.txt_0000,Article 11 - Licence Conditions,"Industrial Operations - Environmental Protection Standards Revision: 2024-A PART I: GENERAL REQUIREMENTS This framework applies to all industrial facilities that discharge waste, emit pollutants, or otherwise interact with the natural environment.",environmental_compliance.txt,environmental_compliance.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",31
environmental_compliance.txt_0001,Article 11 - Licence Conditions,Operators must register with the Environmental Regulatory Authority within 60 days of commencing operations.,environmental_compliance.txt,environmental_compliance.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,14
environmental_compliance.txt_0002,Article 11 - Licence Conditions,All facilities must establish and maintain an ISO 14001-compliant environmental management system.,environmental_compliance.txt,environmental_compliance.txt,obligation,30,LOW,False,False,True,"This is a LOW risk clause of general advisory nature. A legal reference is cited, requiring accurate cross-referencing (score: 30/100).",12
environmental_compliance.txt_0003,Article 11 - Licence Conditions,Organisations are required to conduct internal environmental audits at least twice per year.,environmental_compliance.txt,environmental_compliance.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,13
environmental_compliance.txt_0004,Article 11 - Licence Conditions,Environmental management systems must be certified by an accredited third-party auditor within 12 months of facility commissioning.,environmental_compliance.txt,environmental_compliance.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,17
environmental_compliance.txt_0005,Article 11 - Licence Conditions,PART II: AIR QUALITY Operators shall not discharge pollutants into the atmosphere in excess of the limits specified in Schedule 1 of this framework.,environmental_compliance.txt,environmental_compliance.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,24
environmental_compliance.txt_0006,Article 11 - Licence Conditions,Continuous emissions monitoring systems must be installed and maintained at all major emission points.,environmental_compliance.txt,environmental_compliance.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,14
environmental_compliance.txt_0007,Article 11 - Licence Conditions,Monitoring data must be transmitted to the Authority in real time and must not be tampered with or falsified.,environmental_compliance.txt,environmental_compliance.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,19
environmental_compliance.txt_0008,Article 11 - Licence Conditions,Operators are required to submit quarterly air quality compliance reports to the Environmental Regulatory Authority.,environmental_compliance.txt,environmental_compliance.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,15
environmental_compliance.txt_0009,Article 11 - Licence Conditions,Reports must be submitted no later than 30 days after the end of each quarter.,environmental_compliance.txt,environmental_compliance.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,15
environmental_compliance.txt_0010,Article 11 - Licence Conditions,"Failure to submit reports within the deadline will result in an automatic penalty of USD 10,000 per day of delay.",environmental_compliance.txt,environmental_compliance.txt,condition,45,MEDIUM,True,True,False,This clause is flagged as MEDIUM riskbecause it sets a conditional requirement with a time-bound deadline (score: 45/100).,20
environmental_compliance.txt_0011,Article 11 - Licence Conditions,"PART III: WATER AND WASTEWATER It is strictly prohibited to discharge industrial effluent into any watercourse, groundwater, or coastal water without a valid discharge permit.",environmental_compliance.txt,environmental_compliance.txt,prohibition,40,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 40/100).,25
environmental_compliance.txt_0012,Article 11 - Licence Conditions,Discharge volumes and pollutant concentrations must not exceed the limits stipulated in the discharge permit.,environmental_compliance.txt,environmental_compliance.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,15
environmental_compliance.txt_0013,Article 11 - Licence Conditions,Operators must install flow meters and sampling points at all discharge locations.,environmental_compliance.txt,environmental_compliance.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,12
environmental_compliance.txt_0014,Article 11 - Licence Conditions,"In the event of any accidental spill of hazardous substances, operators must immediately contain the spill and notify the Authority within two hours.",environmental_compliance.txt,environmental_compliance.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,23
environmental_compliance.txt_0015,Article 11 - Licence Conditions,A full incident report must be submitted within 48 hours.,environmental_compliance.txt,environmental_compliance.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,10
environmental_compliance.txt_0016,Article 11 - Licence Conditions,Operators must not remove or disturb evidence of a spill before regulatory inspection.,environmental_compliance.txt,environmental_compliance.txt,prohibition,75,HIGH,False,True,False,"This clause carries HIGH riskbecause it contains an explicit prohibition that, if violated, may trigger enforcement action (score: 75/100).",13
environmental_compliance.txt_0017,Article 11 - Licence Conditions,"PART IV: WASTE MANAGEMENT Operators shall classify, store, transport, and dispose of hazardous waste in accordance with the procedures specified in Directive 2024/HW/003.",environmental_compliance.txt,environmental_compliance.txt,obligation,30,LOW,False,False,True,"This is a LOW risk clause of general advisory nature. A legal reference is cited, requiring accurate cross-referencing (score: 30/100).",23
environmental_compliance.txt_0018,Article 11 - Licence Conditions,Hazardous waste must not be mixed with non-hazardous waste.,environmental_compliance.txt,environmental_compliance.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,9
environmental_compliance.txt_0019,Article 11 - Licence Conditions,Storage of hazardous waste on site must not exceed 90 days without written authority from the regulatory body.,environmental_compliance.txt,environmental_compliance.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,18
environmental_compliance.txt_0020,Article 11 - Licence Conditions,"Organisations must maintain a complete waste register documenting the type, quantity, origin, and disposal route of all waste generated.",environmental_compliance.txt,environmental_compliance.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,19
environmental_compliance.txt_0021,Article 11 - Licence Conditions,Waste records must be retained for a minimum of five years and made available to inspectors on request.,environmental_compliance.txt,environmental_compliance.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,18
environmental_compliance.txt_0022,Article 11 - Licence Conditions,PART V: ENFORCEMENT Inspectors appointed by the Authority are entitled to enter any facility at any reasonable time to conduct inspections.,environmental_compliance.txt,environmental_compliance.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",21
environmental_compliance.txt_0023,Article 11 - Licence Conditions,"Operators must not obstruct, hinder, or mislead any authorised inspector.",environmental_compliance.txt,environmental_compliance.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,10
environmental_compliance.txt_0024,Article 11 - Licence Conditions,All requested records must be made available within 24 hours of a formal request.,environmental_compliance.txt,environmental_compliance.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,14
environmental_compliance.txt_0025,Article 11 - Licence Conditions,"Violations of the provisions of this framework are subject to administrative fines ranging from USD 5,000 to USD 500,000 depending on the severity of the infringement.",environmental_compliance.txt,environmental_compliance.txt,general,30,LOW,True,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 30/100).",26
environmental_compliance.txt_0026,Article 11 - Licence Conditions,Repeat violations within a 12-month period shall attract double the standard penalty.,environmental_compliance.txt,environmental_compliance.txt,obligation,65,MEDIUM,True,True,False,This clause is flagged as MEDIUM riskas it imposes a compliance obligation with a time-bound deadline (score: 65/100).,12
environmental_compliance.txt_0027,Article 11 - Licence Conditions,"Criminal prosecution may be initiated for deliberate or grossly negligent violations, with penalties including imprisonment of up to three years.",environmental_compliance.txt,environmental_compliance.txt,general,30,LOW,True,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 30/100).",20
environmental_compliance.txt_0028,Article 11 - Licence Conditions,Operating licences may be suspended pending investigation of serious environmental incidents.,environmental_compliance.txt,environmental_compliance.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",11
environmental_compliance.txt_0029,Article 11 - Licence Conditions,Licences shall be revoked where the operator is found to have systematically violated environmental standards or concealed violations from the Authority.,environmental_compliance.txt,environmental_compliance.txt,obligation,50,MEDIUM,True,False,False,This clause is flagged as MEDIUM riskas it imposes a compliance obligation (score: 50/100).,21
iaea_safety_standards.txt_0000,7.3 Licence Revocation,"Nuclear Safety Requirements: Operation of Nuclear Power Plants Document Reference: NS-R-2 | Revision 2024 These requirements apply to all nuclear power plant operators, regulatory bodies, and supporting organisations involved in the design, construction, commissioning, operation, and decommissioning of nuclear power plants.",iaea_safety_standards.txt,iaea_safety_standards.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",41
iaea_safety_standards.txt_0001,7.3 Licence Revocation,All parties must comply with these safety standards as a condition of operating licence.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,14
iaea_safety_standards.txt_0002,7.3 Licence Revocation,"Operators shall ensure that all reasonably practicable measures are taken to protect individuals, society, and the environment from harmful effects of ionising radiation.",iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,23
iaea_safety_standards.txt_0003,7.3 Licence Revocation,The fundamental safety objective is to protect people and the environment from harmful effects of ionising radiation.,iaea_safety_standards.txt,iaea_safety_standards.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",17
iaea_safety_standards.txt_0004,7.3 Licence Revocation,"The operating organisation must establish, implement, and maintain a safety management system.",iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,12
iaea_safety_standards.txt_0005,7.3 Licence Revocation,The safety management system shall integrate all elements of the management system so that safety requirements are established and applied coherently with other requirements.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,24
iaea_safety_standards.txt_0006,7.3 Licence Revocation,"Safety must not be compromised by commercial, operational, or other pressures.",iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,11
iaea_safety_standards.txt_0007,7.3 Licence Revocation,All personnel with responsibilities for safety must foster a strong safety culture.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,12
iaea_safety_standards.txt_0008,7.3 Licence Revocation,The operating organisation is required to assess and continuously improve the safety culture of the organisation.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,16
iaea_safety_standards.txt_0009,7.3 Licence Revocation,Organisations must not permit any activity that could undermine safety culture.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,11
iaea_safety_standards.txt_0010,7.3 Licence Revocation,"The operating organisation shall retain overall responsibility for safety, even where specific activities are contracted out to other organisations.",iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,19
iaea_safety_standards.txt_0011,7.3 Licence Revocation,It is prohibited to delegate the fundamental safety responsibility to any contractor or subcontractor.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,40,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 40/100).,14
iaea_safety_standards.txt_0012,7.3 Licence Revocation,Operators must ensure that radiation doses to workers do not exceed the annual effective dose limit of 20 mSv averaged over five consecutive years.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,24
iaea_safety_standards.txt_0013,7.3 Licence Revocation,Doses must not exceed 50 mSv in any single year.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,10
iaea_safety_standards.txt_0014,7.3 Licence Revocation,Organisations must not allow doses to exceed these limits under any operational circumstances.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,13
iaea_safety_standards.txt_0015,7.3 Licence Revocation,"All radiation exposures shall be kept as low as reasonably achievable (ALARA), economic and social factors being taken into account.",iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,20
iaea_safety_standards.txt_0016,7.3 Licence Revocation,Operators are required to demonstrate compliance with the ALARA principle in all operational activities.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,14
iaea_safety_standards.txt_0017,7.3 Licence Revocation,Organisations must maintain comprehensive records of all radiation doses received by workers.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,12
iaea_safety_standards.txt_0018,7.3 Licence Revocation,Records shall be retained for a minimum period of 30 years after the last recorded dose.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,16
iaea_safety_standards.txt_0019,7.3 Licence Revocation,Dose records must not be destroyed without explicit authorisation from the regulatory body under Regulation 15.3.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,70,HIGH,False,False,True,"This clause carries HIGH riskbecause it contains an explicit prohibition that, if violated, may trigger enforcement action. A legal reference is cited, requiring accurate cross-referencing (score: 70/100).",16
iaea_safety_standards.txt_0020,7.3 Licence Revocation,Operating organisations must develop and maintain comprehensive emergency response plans.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,10
iaea_safety_standards.txt_0021,7.3 Licence Revocation,Emergency plans shall be reviewed and updated at least every three years.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,12
iaea_safety_standards.txt_0022,7.3 Licence Revocation,"Plans must address all credible emergency scenarios including loss of coolant accidents, fires, and external events.",iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,16
iaea_safety_standards.txt_0023,7.3 Licence Revocation,The operating organisation is required to conduct full-scale emergency exercises at least once every three years.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,16
iaea_safety_standards.txt_0024,7.3 Licence Revocation,Tabletop exercises must be conducted annually.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,6
iaea_safety_standards.txt_0025,7.3 Licence Revocation,Results of all exercises shall be documented and corrective actions implemented within 90 days of exercise completion.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,17
iaea_safety_standards.txt_0026,7.3 Licence Revocation,"In the event of an emergency, the operating organisation must immediately notify the regulatory authority, local emergency services, and the IAEA Emergency Response Centre.",iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,24
iaea_safety_standards.txt_0027,7.3 Licence Revocation,Notification must occur within one hour of declaring an emergency condition.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,11
iaea_safety_standards.txt_0028,7.3 Licence Revocation,Organisations must not delay notification for any operational reason.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,9
iaea_safety_standards.txt_0029,7.3 Licence Revocation,Operators shall implement a physical protection system to prevent unauthorised access to nuclear material and nuclear installations.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,17
iaea_safety_standards.txt_0030,7.3 Licence Revocation,Access to vital areas must be restricted to authorised personnel only.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,11
iaea_safety_standards.txt_0031,7.3 Licence Revocation,It is strictly prohibited to allow unescorted access to vital areas by any person not holding valid authorisation under Security Plan Section 7.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,50,MEDIUM,False,False,True,"This clause is flagged as MEDIUM risk. A legal reference is cited, requiring accurate cross-referencing (score: 50/100).",23
iaea_safety_standards.txt_0032,7.3 Licence Revocation,Organisations must implement an insider threat mitigation programme.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,8
iaea_safety_standards.txt_0033,7.3 Licence Revocation,Background checks are required for all personnel with access to sensitive nuclear information or materials.,iaea_safety_standards.txt,iaea_safety_standards.txt,general,0,LOW,False,False,False,"This is a LOW risk clause of general advisory nature with no direct obligations, prohibitions, or penalties detected (score: 0/100).",15
iaea_safety_standards.txt_0034,7.3 Licence Revocation,Personnel must not share access credentials or allow others to use their authorisation.,iaea_safety_standards.txt,iaea_safety_standards.txt,prohibition,60,MEDIUM,False,False,False,This clause is flagged as MEDIUM risk (score: 60/100).,13
iaea_safety_standards.txt_0035,7.3 Licence Revocation,Operators are required to protect all digital systems important to safety from cyber threats.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,20,LOW,False,False,False,This is a LOW risk clause of general advisory nature (score: 20/100).,14
iaea_safety_standards.txt_0036,7.3 Licence Revocation,Organisations must conduct cybersecurity assessments no later than every two years.,iaea_safety_standards.txt,iaea_safety_standards.txt,obligation,35,LOW,False,True,False,This is a LOW risk clause of general advisory nature (score: 35/100).,11
